;; Experiment Time: Fri Nov 16 11:53:50 PST 2012
;; Number of Subjects Used: 7
;; Number of Matches Run: 41
;;
;; Table Name: Client Round Data
matchId,roundId,groupId,clientId,payoff,id,period.0.stillInitialView,period.0.riskyHoldings,period.0.safeHoldings,period.0.riskyPercent,period.0.safePercent,period.0.initialViewType,period.0.dollarChoices.0,period.0.numSwitches,period.0.dragTimes.0,period.0.dragTimes.1,period.0.safeReturn,period.0.riskyReturn,period.0.riskyDraw,period.1.stillInitialView,period.1.riskyHoldings,period.1.safeHoldings,period.1.riskyPercent,period.1.safePercent,period.1.initialViewType,period.1.numSwitches,period.1.dragTimes.0,period.1.safeReturn,period.1.riskyReturn,period.1.riskyDraw,period.2.stillInitialView,period.2.riskyHoldings,period.2.safeHoldings,period.2.riskyPercent,period.2.safePercent,period.2.initialViewType,period.2.numSwitches,period.2.dragTimes.0,period.2.dragTimes.1,period.2.safeReturn,period.2.riskyReturn,period.2.riskyDraw,period.3.stillInitialView,period.3.riskyHoldings,period.3.safeHoldings,period.3.riskyPercent,period.3.safePercent,period.3.initialViewType,period.3.numSwitches,period.3.dragTimes.0,period.3.dragTimes.1,period.3.safeReturn,period.3.riskyReturn,period.3.riskyDraw,period.4.stillInitialView,period.4.riskyHoldings,period.4.safeHoldings,period.4.riskyPercent,period.4.safePercent,period.4.initialViewType,period.4.numSwitches,period.4.dragTimes.0,period.4.safeReturn,period.4.riskyReturn,period.4.riskyDraw,period.5.stillInitialView,period.5.riskyHoldings,period.5.safeHoldings,period.5.riskyPercent,period.5.safePercent,period.5.initialViewType,period.5.numSwitches,period.5.dragTimes.0,period.5.safeReturn,period.5.riskyReturn,period.5.riskyDraw,period.6.stillInitialView,period.6.riskyHoldings,period.6.safeHoldings,period.6.riskyPercent,period.6.safePercent,period.6.initialViewType,period.6.numSwitches,period.6.dragTimes.0,period.6.safeReturn,period.6.riskyReturn,period.6.riskyDraw,period.7.stillInitialView,period.7.riskyHoldings,period.7.safeHoldings,period.7.riskyPercent,period.7.safePercent,period.7.initialViewType,period.7.numSwitches,period.7.dragTimes.0,period.7.safeReturn,period.7.riskyReturn,period.7.riskyDraw,period.8.stillInitialView,period.8.riskyHoldings,period.8.safeHoldings,period.8.riskyPercent,period.8.safePercent,period.8.initialViewType,period.8.numSwitches,period.8.dragTimes.0,period.8.safeReturn,period.8.riskyReturn,period.8.riskyDraw,period.9.stillInitialView,period.9.riskyHoldings,period.9.safeHoldings,period.9.riskyPercent,period.9.safePercent,period.9.initialViewType,period.9.numSwitches,period.9.dragTimes.0,period.9.safeReturn,period.9.riskyReturn,period.9.riskyDraw,endOfPathHoldings,period.0.percentChoices.0,period.0.dragTimes.2,period.0.dragTimes.3,period.0.dragTimes.4,period.0.dragTimes.5,period.1.dragTimes.1,period.1.dragTimes.2,period.2.dragTimes.2,period.3.dragTimes.2,period.4.dragTimes.1,period.5.dragTimes.1,period.6.dragTimes.1,period.7.dollarChoices.0,period.7.dragTimes.1,period.8.dragTimes.1,period.9.dragTimes.1,period.9.dragTimes.2,period.4.dragTimes.2,period.7.dragTimes.2,period.6.percentChoices.0,period.6.dollarChoices.0,period.9.dragTimes.3,period.0.dragTimes.6,period.0.dragTimes.7,period.2.dragTimes.3,period.2.dragTimes.4,period.3.dragTimes.3,period.4.dragTimes.3,period.4.dragTimes.4,period.4.dragTimes.5,period.5.dragTimes.2,period.6.dragTimes.2,period.6.dragTimes.3,period.6.dragTimes.4,period.6.dragTimes.5,period.6.dragTimes.6,period.8.dragTimes.2,period.8.dragTimes.3,period.9.dragTimes.4,period.9.dragTimes.5,period.9.dragTimes.6,period.9.dragTimes.7,period.9.dragTimes.8,period.9.dragTimes.9,period.5.percentChoices.0,period.5.dollarChoices.0,period.1.dragTimes.3,period.1.dragTimes.4,period.1.dragTimes.5,period.3.percentChoices.0,period.4.dollarChoices.0,period.5.dragTimes.3,period.5.dragTimes.4,period.0.percentChoices.1,period.0.dollarChoices.1,period.7.dragTimes.3,period.1.percentChoices.0,period.2.percentChoices.0,period.9.dollarChoices.0,period.4.dragTimes.6,period.0.dragTimes.8,period.1.dollarChoices.0,period.8.dragTimes.4,period.8.dragTimes.5,period.3.dragTimes.4,period.3.dollarChoices.0,period.3.percentChoices.1,period.3.dollarChoices.1,period.4.percentChoices.0,period.6.percentChoices.1,period.7.percentChoices.0,period.7.dragTimes.4,period.1.betTime,period.1.betResult,period.0.betTime,period.0.betResult,period.9.betTime,period.9.betResult,period.5.betTime,period.5.betResult,period.8.betTime,period.8.betResult,period.4.betTime,period.4.betResult,period.7.dragTimes.5,period.7.dragTimes.6,period.7.dragTimes.7,period.3.betTime,period.3.betResult,period.0.dragTimes.9,period.1.dragTimes.6,period.1.dragTimes.7,period.2.dollarChoices.0,period.6.betTime,period.6.betResult,period.3.dragTimes.5,period.4.percentChoices.1,period.4.dollarChoices.1,period.7.percentChoices.1,period.8.dragTimes.6,period.8.dragTimes.7,period.8.dragTimes.8,period.8.dragTimes.9,period.2.betTime,period.2.betResult,period.7.betTime,period.7.betResult,period.4.view.0.index,period.4.view.0.time,period.5.dragTimes.5,period.5.dragTimes.6,period.5.dragTimes.7,period.5.dragTimes.8,period.8.view.0.index,period.8.view.0.time,period.1.dragTimes.8,questionRound.0.question.0.answer,questionRound.0.question.1.answer,questionRound.0.question.2.answer,questionRound.0.question.3.answer,questionRound.0.question.4.answer,questionRound.0.question.5.answer,questionRound.0.question.6.answer,questionRound.0.question.7.answer,questionRound.0.question.8.answer,questionRound.0.question.9.answer,questionRound.0.question.10.answer,
5,0,0,0,0.0,0,false,3.0,0.0,1.0,0.0,,1029,1,1778,5397,0.0,1.618578,0.539526,false,2.6163971,2.5291836,0.5084746,0.49152538,dollar,0,858,0.075875506,0.37133354,0.14192553,false,3.0498474,2.5705855,0.5426357,0.45736432,dollar,0,936,6489,0.07711756,-0.08508199,-0.02789713,false,2.9383922,2.6752524,0.5234375,0.4765625,dollar,0,764,5117,0.08025757,2.1287048,0.7244454,false,4.3126545,4.506481,0.48901102,0.510989,dollar,0,687,0.13519444,1.8511225,0.42923042,false,3.7910082,7.4752274,0.3364929,0.6635071,dollar,0,1123,0.22425681,0.7902027,0.2084413,false,4.8516665,7.517417,0.3922414,0.6077586,dollar,0,1029,0.2255225,-1.7703773,-0.36490086,false,4.220151,6.8911333,0.37980768,0.62019235,dollar,0,1357,0.206734,6.7606506,1.6019926,false,0.0,28.042105,0.0,1.0,dollar,0,1825,0.8412631,-0.0,-0.20511982,false,8.54078,20.342587,0.2956989,0.70430106,dollar,0,1919,0.6102776,-3.9602509,-0.46368724,26.324675,N/A,N/A,N/A,N/A,N/A,6459,N/A,N/A,N/A,2590,N/A,6302,N/A,6115,4180,6552,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,0,0,1,0.0,1,false,1.6363637,1.3636363,0.54545456,0.4545454,,2839,1,3619,5226,0.040909085,0.8828608,0.539526,false,2.2225916,1.9886343,0.5277778,0.47222218,dollar,0,1341,0.05965903,0.3154425,0.14192553,false,2.0531087,2.5567012,0.44537818,0.5546218,dollar,0,1295,5928,0.07670103,-0.057275843,-0.02789713,false,2.723545,1.9064813,0.5882353,0.41176468,dollar,0,1186,3494,0.057194438,1.9730597,0.7244454,false,5.09955,2.4843965,0.67241377,0.32758623,dollar,0,1076,0.07453189,2.1888819,0.42923042,false,5.6331654,4.759053,0.5420561,0.45794392,dollar,0,1420,0.14277159,1.1741843,0.2084413,false,6.6966834,5.14383,0.56557375,0.43442625,dollar,0,1233,0.15431489,-2.4436255,-0.36490086,false,5.289117,4.658304,0.53170735,0.46829265,dollar,0,1076,0.13974912,8.473126,1.6019926,false,15.688884,15.35859,0.5053192,0.49468082,dollar,0,1248,0.4607577,-3.218101,-0.20511982,false,15.741661,12.857063,0.55043226,0.4495677,dollar,0,1654,0.38571188,-7.299207,-0.46368724,23.143654,N/A,N/A,N/A,N/A,N/A,5382,N/A,N/A,N/A,4103,3947,5960,N/A,3838,3432,3697,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,0,0,2,0.0,2,false,1.5,1.5,0.5,0.5,,N/A,1,1497,3104,0.044999998,0.809289,0.539526,false,1.7481185,2.3696718,0.4245283,0.5754717,percent,0,889,0.071090154,0.24810265,0.14192553,false,2.0921257,2.3633273,0.4695652,0.5304348,percent,0,967,3479,0.070899814,-0.058364302,-0.02789713,false,1.7875179,2.6812768,0.4,0.59999996,percent,0,1248,4992,0.0804383,1.2949592,0.7244454,false,3.2252064,3.2252064,0.5,0.5,percent,0,952,0.09675619,1.3843567,0.42923042,false,4.1186333,4.157488,0.49765262,0.5023474,percent,0,1030,0.124724634,0.85849327,0.2084413,false,3.2996109,6.0557556,0.3526971,0.64730287,percent,0,873,0.18167266,-1.2040309,-0.36490086,false,3.4112937,5.1169405,0.4,0.59999996,percent,0,1513,0.15350822,5.4648676,1.6019926,false,0.0,22.200397,0.0,1.0,percent,0,1420,0.6660119,-0.0,-0.20511982,false,0.12633376,22.740076,0.005524862,0.9944752,percent,0,1014,0.6822023,-0.05857935,-0.46368724,23.501736,2324,4321,N/A,N/A,N/A,2667,4773,N/A,N/A,4508,5117,3447,N/A,3744,1654,1919,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4524,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,0,0,3,0.0,3,false,1.5,1.5,0.5,0.5,,4633,1,2465,2652,0.044999998,0.809289,0.539526,false,2.058895,2.058895,0.5,0.5,dollar,0,1732,0.06176685,0.29220977,0.14192553,false,1.9755993,2.5179205,0.43965518,0.5603448,dollar,0,1529,1685,0.075537615,-0.05511355,-0.02789713,false,2.0238335,2.4908721,0.44827586,0.55172414,dollar,0,3713,3932,0.074726164,1.4661568,0.7244454,false,2.6347866,4.1071672,0.39080462,0.6091954,dollar,0,1794,0.12321501,1.1309305,0.42923042,false,3.4587207,4.818892,0.41784036,0.58215964,dollar,0,1950,0.14456676,0.72094023,0.2084413,false,3.914285,5.309476,0.42436975,0.5756303,dollar,0,2060,0.15928428,-1.4283259,-0.36490086,false,3.7245781,4.461735,0.4549763,0.54502374,dollar,0,1825,0.13385203,5.966747,1.6019926,false,0.44142726,22.638912,0.019125683,0.9808743,dollar,0,4150,0.67916733,-0.09054548,-0.20511982,false,7.0085826,16.66906,0.296,0.704,dollar,0,2715,0.50007176,-3.2497904,-0.46368724,21.577251,N/A,3448,3760,5897,6084,1934,4368,N/A,N/A,1997,2231,2278,N/A,2075,4353,2918,4384,5476,4743,N/A,N/A,N/A,6770,7067,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5429,N/A,N/A,N/A,N/A,6084,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8330,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,0,0,4,0.0,4,false,2.1818182,0.81818175,0.72727275,0.27272725,,3213,1,1872,2277,0.024545452,1.1771476,0.539526,false,3.1473088,1.4376593,0.6864407,0.31355926,dollar,0,1326,0.043129776,0.44668347,0.14192553,false,1.5091918,3.598842,0.29545453,0.70454544,dollar,0,1638,N/A,0.10796525,-0.04210212,-0.02789713,false,1.361705,3.8127737,0.2631579,0.7368421,dollar,0,1373,6303,0.114383206,0.9864809,0.7244454,false,3.4269907,3.3101618,0.5086705,0.4913295,dollar,0,1310,0.099304855,1.4709687,0.42923042,false,2.9638367,5.7097445,0.34170854,0.65829146,dollar,0,1061,0.17129233,0.617786,0.2084413,false,1.6614997,7.870262,0.17431192,0.82568806,dollar,0,921,0.23610786,-0.60628265,-0.36490086,false,0.0,9.2598915,0.0,1.0,dollar,0,1201,0.27779675,0.0,1.6019926,false,0.7875156,8.750173,0.08256881,0.9174312,dollar,0,2637,0.26250517,-0.16153505,-0.20511982,false,9.348362,0.3057871,0.96832585,0.03167416,dollar,0,1528,0.009173612,-4.3347163,-0.46368724,6.1947083,N/A,3744,4165,7831,N/A,N/A,N/A,N/A,N/A,1794,1420,4103,N/A,6505,2933,4414,N/A,2090,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3884,6411,N/A,1701,N/A,N/A,N/A,N/A,N/A,3214,6864,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2013,5039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,0,0,5,0.0,5,false,1.5,1.5,0.5,0.5,,N/A,1,4337,7239,0.044999998,0.809289,0.539526,false,1.8646598,2.2531304,0.4528302,0.5471698,percent,0,2090,0.06759391,0.26464283,0.14192553,false,1.787891,2.6818366,0.4,0.6,percent,0,1372,5959,0.080455095,-0.04987703,-0.02789713,false,1.5908688,2.9101257,0.35344827,0.64655167,percent,0,1528,5257,0.08730377,1.1524976,0.7244454,false,2.1709766,4.1093483,0.34567904,0.65432096,percent,0,1404,0.12328044,0.93184924,0.42923042,false,2.94935,4.618061,0.3897436,0.6102564,percent,0,1186,0.13854183,0.61476636,0.2084413,false,2.9130154,5.476469,0.3472222,0.6527778,percent,0,1388,0.16429406,-1.0629618,-0.36490086,false,2.3339603,5.3292093,0.30456853,0.6954315,percent,0,1404,0.15987627,3.7389872,1.6019926,false,5.141098,11.931227,0.30113637,0.6988636,percent,0,1482,0.3579368,-1.0545411,-0.20511982,false,4.1313615,12.345482,0.25073746,0.7492626,percent,0,1123,0.37036446,-1.9156597,-0.46368724,15.314308,3557,N/A,N/A,N/A,N/A,5085,N/A,N/A,N/A,3307,N/A,3276,N/A,5975,4274,5398,N/A,5631,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,0,0,6,0.0,6,false,1.7727273,1.2272727,0.59090906,0.4090909,,1029,2,2979,8034,0.03681818,0.9564324,0.539526,false,2.8309937,1.4736676,0.6576577,0.3423423,percent,0,983,0.044210028,0.40179026,0.14192553,false,3.0704486,1.7101233,0.6422764,0.35772356,percent,0,764,3322,0.0513037,-0.08565671,-0.02789713,false,3.190877,1.5565257,0.6721311,0.3278689,percent,0,717,2823,0.04669577,2.3116162,0.7244454,false,5.5231795,2.6646924,0.6745562,0.32544383,percent,0,780,0.07994077,2.3707166,0.42923042,false,7.592707,3.635944,0.6761905,0.3238095,percent,0,826,0.10907832,1.5826337,0.2084413,false,8.660315,4.4370747,0.6612245,0.33877552,percent,0,1030,0.13311224,-3.1601562,-0.36490086,false,7.2689557,3.313789,0.68686867,0.31313133,percent,0,874,0.09941366,11.644814,1.6019926,false,27.64187,11.846518,0.7,0.30000004,percent,0,936,0.35539553,-5.6698956,-0.20511982,false,22.432905,12.284685,0.64615387,0.35384613,percent,0,936,0.36854056,-10.401852,-0.46368724,26.76263,1373,N/A,N/A,N/A,N/A,4898,N/A,N/A,3806,3057,5787,4228,N/A,2980,5054,4992,N/A,5163,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6583,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6458,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,0,0,0,0.0,0,false,2.8295455,0.1704545,0.9431818,0.05681817,,1606,1,2277,3572,0.0051136347,-1.999055,-0.7064933,false,1.5715846,0.0,1.0,0.0,dollar,0,764,0.0,0.51093435,0.32510778,false,2.1753557,0.0,1.0,0.0,dollar,0,749,2403,0.0,0.74195755,0.34107414,false,1.4957777,1.5637676,0.4888889,0.5111111,dollar,0,749,N/A,0.046913024,0.24592121,0.16441026,false,1.6357578,1.7379926,0.4848485,0.5151515,dollar,0,1045,0.052139778,1.4004703,0.8561599,false,2.5146072,3.1262681,0.44578314,0.55421686,dollar,0,1107,0.09378804,-0.33840433,-0.13457543,false,2.044544,3.3734977,0.37735847,0.6226415,dollar,0,749,0.10120493,1.0771761,0.526854,false,3.2646277,3.6727064,0.4705882,0.5294118,dollar,0,999,0.11018119,1.9472815,0.5964789,false,5.771986,3.9385319,0.5944056,0.4055944,dollar,0,982,0.118155956,4.5178065,0.7827127,false,5.470248,11.2120695,0.32790697,0.67209303,dollar,0,1560,0.33636206,2.8317425,0.5176625,20.728058,N/A,N/A,N/A,N/A,N/A,1217,4446,N/A,N/A,6131,5663,3619,N/A,5257,2168,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,0,0,1,0.0,1,false,1.9431818,1.0568182,0.64772725,0.35227275,,N/A,1,4197,5226,0.031704545,-1.3728449,-0.7064933,false,1.433063,0.61416984,0.7,0.29999998,percent,1,1061,0.018425094,0.46589994,0.32510778,false,1.4610015,1.1552104,0.5584416,0.44155842,dollar,0,1139,3276,0.034656312,0.49830982,0.34107414,false,1.5711194,1.6735839,0.48421052,0.5157895,dollar,0,1107,4227,0.050207514,0.25830817,0.16441026,false,2.4518857,1.1237807,0.6857143,0.31428567,dollar,0,982,0.033713423,2.0992062,0.8561599,false,4.75553,2.1739564,0.6862745,0.31372547,dollar,0,1123,0.06521869,-0.63997746,-0.13457543,false,5.1031294,1.2927923,0.7978724,0.2021276,dollar,0,1264,0.03878377,2.688604,0.526854,false,6.547699,3.4265156,0.6564626,0.3435374,dollar,0,1076,0.10279547,3.905564,0.5964789,false,10.657244,4.7608175,0.69121814,0.30878186,dollar,0,1327,0.14282452,8.34156,0.7827127,false,19.121098,9.094179,0.677686,0.32231402,dollar,0,1341,0.27282536,9.898275,0.5176625,41.45413,3651,N/A,N/A,N/A,N/A,3401,N/A,N/A,N/A,3978,3463,3104,N/A,2886,4447,4758,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5382,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,0,0,2,0.0,2,false,1.5,1.5,0.5,0.5,,N/A,1,827,2356,0.044999998,-1.05974,-0.7064933,false,1.1595811,1.1254758,0.5074627,0.49253732,percent,0,1061,0.033764273,0.37698883,0.32510778,false,1.399218,1.3650907,0.50617284,0.49382716,percent,0,921,2964,0.04095272,0.47723708,0.34107414,false,1.7040322,1.6699517,0.5050505,0.49494952,percent,0,936,4384,0.05009855,0.28016037,0.16441026,false,1.8303983,1.8981907,0.4909091,0.5090909,percent,0,764,0.056945723,1.5671136,0.8561599,false,2.485207,3.7788763,0.39673916,0.6032609,percent,0,920,0.11336628,-0.3344478,-0.13457543,false,2.4189978,3.6455317,0.39887643,0.6011236,percent,0,718,0.10936595,1.2744586,0.526854,false,1.937433,5.9142694,0.24675325,0.7532468,percent,0,952,0.17742808,1.1556379,0.5964789,false,2.4448254,7.1646967,0.25441697,0.74558306,percent,0,920,0.21494089,1.9135959,0.7827127,false,1.9345714,10.792872,0.152,0.848,percent,0,702,0.32378617,1.0014551,0.5176625,14.363064,1779,5741,N/A,N/A,N/A,4976,N/A,N/A,N/A,2745,4477,N/A,N/A,2434,4040,3666,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
