;; Experiment Time: Tue Nov 20 16:54:21 PST 2012
;; Number of Subjects Used: 7
;; Number of Matches Run: 41
;;
;; Table Name: Client Round Data
matchId,roundId,groupId,clientId,payoff,id,period.0.stillInitialView,period.0.riskyHoldings,period.0.safeHoldings,period.0.riskyPercent,period.0.safePercent,period.0.initialViewType,period.0.percentChoices.0,period.0.numSwitches,period.0.dragTimes.0,period.0.dragTimes.1,period.0.dragTimes.2,period.0.safeReturn,period.0.riskyReturn,period.0.riskyDraw,period.1.stillInitialView,period.1.riskyHoldings,period.1.safeHoldings,period.1.riskyPercent,period.1.safePercent,period.1.initialViewType,period.1.numSwitches,period.1.dragTimes.0,period.1.safeReturn,period.1.riskyReturn,period.1.riskyDraw,period.2.stillInitialView,period.2.riskyHoldings,period.2.safeHoldings,period.2.riskyPercent,period.2.safePercent,period.2.initialViewType,period.2.numSwitches,period.2.dragTimes.0,period.2.safeReturn,period.2.riskyReturn,period.2.riskyDraw,period.3.stillInitialView,period.3.riskyHoldings,period.3.safeHoldings,period.3.riskyPercent,period.3.safePercent,period.3.initialViewType,period.3.numSwitches,period.3.dragTimes.0,period.3.dragTimes.1,period.3.dragTimes.2,period.3.dragTimes.3,period.3.safeReturn,period.3.riskyReturn,period.3.riskyDraw,period.4.stillInitialView,period.4.riskyHoldings,period.4.safeHoldings,period.4.riskyPercent,period.4.safePercent,period.4.initialViewType,period.4.numSwitches,period.4.dragTimes.0,period.4.safeReturn,period.4.riskyReturn,period.4.riskyDraw,period.5.stillInitialView,period.5.riskyHoldings,period.5.safeHoldings,period.5.riskyPercent,period.5.safePercent,period.5.initialViewType,period.5.numSwitches,period.5.dragTimes.0,period.5.safeReturn,period.5.riskyReturn,period.5.riskyDraw,period.6.stillInitialView,period.6.riskyHoldings,period.6.safeHoldings,period.6.riskyPercent,period.6.safePercent,period.6.initialViewType,period.6.numSwitches,period.6.dragTimes.0,period.6.safeReturn,period.6.riskyReturn,period.6.riskyDraw,period.7.stillInitialView,period.7.riskyHoldings,period.7.safeHoldings,period.7.riskyPercent,period.7.safePercent,period.7.initialViewType,period.7.numSwitches,period.7.dragTimes.0,period.7.dragTimes.1,period.7.safeReturn,period.7.riskyReturn,period.7.riskyDraw,period.8.stillInitialView,period.8.riskyHoldings,period.8.safeHoldings,period.8.riskyPercent,period.8.safePercent,period.8.initialViewType,period.8.numSwitches,period.8.dragTimes.0,period.8.dragTimes.1,period.8.dragTimes.2,period.8.safeReturn,period.8.riskyReturn,period.8.riskyDraw,period.9.stillInitialView,period.9.riskyHoldings,period.9.safeHoldings,period.9.riskyPercent,period.9.safePercent,period.9.initialViewType,period.9.numSwitches,period.9.dragTimes.0,period.9.dragTimes.1,period.9.safeReturn,period.9.riskyReturn,period.9.riskyDraw,endOfPathHoldings,period.0.dragTimes.3,period.0.dragTimes.4,period.0.dragTimes.5,period.2.dragTimes.1,period.2.dragTimes.2,period.2.dragTimes.3,period.2.dragTimes.4,period.3.dragTimes.4,period.3.dragTimes.5,period.4.dragTimes.1,period.4.dragTimes.2,period.5.dragTimes.1,period.6.dragTimes.1,period.6.dragTimes.2,period.0.dollarChoices.0,period.1.dragTimes.1,period.1.dragTimes.2,period.9.dragTimes.2,period.5.dragTimes.2,period.7.dragTimes.2,period.1.percentChoices.0,period.4.dragTimes.3,period.4.dragTimes.4,period.0.dragTimes.6,period.0.dragTimes.7,period.8.dragTimes.3,period.8.dragTimes.4,period.0.dragTimes.8,period.9.dragTimes.3,period.7.dragTimes.3,period.5.dragTimes.3,period.8.dragTimes.5,period.8.dragTimes.6,period.9.dragTimes.4,period.9.dragTimes.5,period.6.dragTimes.3,period.2.dragTimes.5,period.1.dragTimes.3,period.7.dragTimes.4,period.7.dragTimes.5,period.7.dragTimes.6,period.7.dragTimes.7,period.1.dragTimes.4,period.6.dragTimes.4,period.5.dragTimes.4,period.3.dollarChoices.0,period.0.betTime,period.0.betResult,period.1.betTime,period.1.betResult,period.6.betTime,period.6.betResult,period.5.betTime,period.5.betResult,period.3.betTime,period.3.betResult,period.4.betTime,period.4.betResult,period.7.betTime,period.7.betResult,period.8.betTime,period.8.betResult,period.9.betTime,period.9.betResult,period.2.betTime,period.2.betResult,period.1.dragTimes.5,period.4.dragTimes.5,period.4.dragTimes.6,period.4.dragTimes.7,period.4.view.0.index,period.4.view.0.time,period.8.view.0.index,period.8.view.0.time,period.9.dragTimes.6,period.9.dragTimes.7,questionRound.0.question.0.answer,questionRound.0.question.1.answer,questionRound.0.question.2.answer,questionRound.0.question.3.answer,questionRound.0.question.4.answer,questionRound.0.question.5.answer,questionRound.0.question.6.answer,questionRound.0.question.7.answer,questionRound.0.question.8.answer,questionRound.0.question.9.answer,questionRound.0.question.10.answer,
5,0,0,0,0.0,0,false,1.1931819,1.8068181,0.39772728,0.6022727,,2667,1,3541,3915,4898,0.054204542,-0.6096893,-0.5109777,false,0.5085835,2.0682395,0.19736843,0.80263156,percent,0,1076,0.062047184,0.03447695,0.06779015,false,0.54167956,2.132863,0.20253167,0.7974683,percent,0,1077,0.06398589,0.14225015,0.26260942,false,0.44371372,2.4574914,0.15294118,0.84705883,percent,0,921,2996,N/A,N/A,0.07372474,0.05218111,0.11760084,false,0.44262856,2.5876746,0.14606741,0.85393256,percent,0,1076,0.07763024,-0.18176056,-0.41063902,false,0.3060898,2.652778,0.10344828,0.89655167,percent,0,1077,0.07958333,-0.31190482,-1.0189978,false,0.43996432,2.402882,0.15476191,0.8452381,percent,0,1232,0.07208646,-0.08727409,-0.19836628,false,0.2733272,2.5624428,0.09638554,0.9036145,percent,0,1092,4040,0.07687328,0.2411111,0.88213354,false,0.340174,2.959514,0.103092775,0.8969072,percent,0,1669,5835,N/A,0.08878542,-0.44705927,-1.3142077,false,0.30714452,2.8325553,0.097826086,0.90217394,percent,0,1342,2122,0.08497666,-0.072560884,-0.23624346,3.1600497,9859,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3681,N/A,3073,4820,N/A,N/A,5023,N/A,3806,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,0,0,1,0.0,1,false,1.5,1.5,0.5,0.5,,4025,1,2543,3167,4867,0.044999998,-0.7664665,-0.5109777,false,1.2224315,1.2224315,0.5,0.5,percent,0,1154,0.036672946,0.08286882,0.06779015,false,1.2836392,1.2836392,0.5,0.5,percent,0,1498,0.038509175,0.33709574,0.26260942,false,1.5296361,1.4616523,0.5113636,0.48863634,percent,0,1591,N/A,N/A,N/A,0.04384957,0.1798865,0.11760084,false,1.6639516,1.5620773,0.51578945,0.48421055,percent,0,1420,0.04686232,-0.68328345,-0.41063902,false,1.3901646,1.3223517,0.5125,0.4875,percent,0,1778,0.03967055,-1.4165747,-1.0189978,false,0.9488493,0.91496193,0.5090909,0.49090913,percent,0,1342,0.027448857,-0.18821971,-0.19836628,false,0.91087055,0.8096626,0.5294118,0.4705882,percent,0,1607,2028,0.024289876,0.8035095,0.88213354,false,0.88653,2.1481304,0.29213482,0.7078652,percent,0,2293,N/A,N/A,0.06444391,-1.1650845,-1.3142077,false,1.0892327,1.3615408,0.44444445,0.5555555,percent,0,1779,4368,0.04084622,-0.2573241,-0.23624346,2.2624326,5398,7441,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3494,3994,N/A,N/A,4352,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,0,0,2,0.0,2,false,1.875,1.125,0.625,0.375,,N/A,1,2730,3276,3790,0.033749998,-0.95808315,-0.5109777,false,1.3633306,0.92024827,0.5970149,0.4029851,dollar,0,1529,0.027607448,0.092420384,0.06779015,false,1.2542537,1.1525575,0.52112675,0.47887325,dollar,0,1685,0.034576725,0.32937884,0.26260942,false,1.765534,1.0525299,0.62650603,0.37349397,dollar,0,1139,1981,2324,N/A,0.031575896,0.2076283,0.11760084,false,1.8419819,1.2279878,0.6,0.39999998,dollar,0,1435,0.03683963,-0.7563896,-0.41063902,false,1.2262084,1.2602699,0.49315068,0.50684935,dollar,0,1373,0.037808094,-1.2495037,-1.0189978,false,0.71675307,1.0239329,0.4117647,0.5882353,dollar,0,1810,0.030717988,-0.14217964,-0.19836628,false,0.41060954,1.2318287,0.25,0.75000006,dollar,0,1373,2527,0.03695486,0.36221245,0.88213354,false,0.70862037,1.552216,0.31343284,0.6865672,dollar,0,1545,2169,N/A,0.04656648,-0.93127435,-1.3142077,false,0.37133917,1.4178405,0.20754717,0.7924528,dollar,0,1498,2059,0.042535212,-0.08772645,-0.23624346,1.7535808,4118,5350,6583,N/A,N/A,N/A,N/A,N/A,N/A,3120,N/A,N/A,N/A,N/A,4695,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,0,0,3,0.0,3,false,2.7272727,0.27272725,0.90909094,0.090909086,,2450,1,3370,N/A,N/A,0.008181817,-1.3935755,-0.5109777,false,0.95851195,0.95851195,0.5,0.5,percent,0,2324,0.028755357,0.06497767,0.06779015,false,0.98944557,1.0235645,0.4915254,0.5084746,percent,0,2309,0.030706933,0.25983772,0.26260942,false,0.8481399,1.4927262,0.36231884,0.6376812,percent,0,4914,N/A,N/A,N/A,0.044781785,0.099741966,0.11760084,false,1.9112812,0.5802103,0.7671233,0.2328767,percent,0,1467,0.017406309,-0.78484666,-0.41063902,false,1.4243565,0.4408722,0.7636364,0.23636362,percent,0,1622,0.013226165,-1.4514161,-1.0189978,false,0.622433,0.3457961,0.64285713,0.35714287,percent,0,1607,0.010373883,-0.123469725,-0.19836628,false,0.5332974,0.33331084,0.61538464,0.38461536,percent,0,1560,1981,0.0099993255,0.47043955,0.88213354,false,0.44194117,1.1898416,0.27083334,0.7291667,percent,0,1560,6099,N/A,0.035695247,-0.5808025,-1.3142077,false,0.26885614,1.0754246,0.2,0.8,percent,0,1358,2434,0.032262735,-0.06351551,-0.23624346,1.319973,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4431,N/A,1856,4899,N/A,N/A,N/A,N/A,N/A,N/A,3572,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,0,0,4,0.0,4,false,1.875,1.125,0.625,0.375,,N/A,1,4821,7379,9625,0.033749998,-0.95808315,-0.5109777,false,2.044996,0.23858285,0.8955224,0.10447761,dollar,0,1654,0.0071574855,0.13863058,0.06779015,false,1.6227826,0.81139123,0.6666667,0.3333333,dollar,0,1139,0.024341736,0.426158,0.26260942,false,2.234796,0.7110715,0.7586207,0.24137932,dollar,0,1950,6053,N/A,N/A,0.021332145,0.2628139,0.11760084,false,2.0626206,1.1834707,0.6354167,0.3645833,dollar,0,1388,0.03550412,-0.8469925,-0.41063902,false,0.8850123,1.7019467,0.34210527,0.65789473,dollar,0,1092,0.0510584,-0.9018256,-1.0189978,false,0.3397469,1.7327092,0.16393442,0.83606553,dollar,0,1138,0.051981274,-0.06739433,-0.19836628,false,1.1500397,0.9132669,0.55737704,0.442623,dollar,0,1451,5257,0.027398007,1.0144886,0.88213354,false,2.7638216,0.9553952,0.74311924,0.25688076,dollar,0,2091,N/A,N/A,0.028661856,-3.6322355,-1.3142077,false,1.591236,0.13542438,0.92156863,0.07843139,dollar,0,1638,2886,0.0040627313,-0.3759191,-0.23624346,1.3959087,N/A,N/A,N/A,5460,N/A,N/A,N/A,N/A,N/A,4461,N/A,2683,3510,N/A,2481,5101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,0,0,5,0.0,5,false,1.4659091,1.5340909,0.48863637,0.5113636,,3400,1,4134,5054,8798,0.046022724,-0.74904686,-0.5109777,false,0.61488134,1.8446441,0.25,0.75,percent,0,1170,0.05533932,0.0416829,0.06779015,false,1.841755,0.7162379,0.72,0.27999994,percent,0,920,0.021487137,0.48366222,0.26260942,false,2.1110957,1.021498,0.673913,0.32608697,percent,0,858,3932,5897,N/A,0.030644938,0.24826664,0.11760084,false,1.6624548,1.7642379,0.4851485,0.5148515,percent,0,748,0.052927136,-0.6826688,-0.41063902,false,0.67901134,2.2407374,0.23255815,0.76744187,percent,0,905,0.06722212,-0.69191104,-1.0189978,false,0.7488956,1.8041575,0.29333332,0.70666665,percent,0,1872,0.054124724,-0.14855564,-0.19836628,false,1.2192799,1.2531487,0.4931507,0.5068493,percent,0,905,3760,0.03759446,1.0755677,0.88213354,false,1.5251698,2.711413,0.36,0.64,percent,0,1077,4524,N/A,0.081342384,-2.00439,-1.3142077,false,1.2946475,1.9079015,0.40425533,0.59574467,percent,0,1794,2013,0.057237044,-0.305852,-0.23624346,2.9873772,N/A,N/A,N/A,2465,N/A,N/A,N/A,N/A,N/A,5304,N/A,1435,5460,6708,N/A,3884,N/A,5850,1685,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6349,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,0,0,6,1.3496754,6,false,1.5,1.5,0.5,0.5,,2746,1,1841,3432,7566,0.044999998,-0.7664665,-0.5109777,false,1.018693,1.4261701,0.4166667,0.5833333,percent,0,1950,0.0427851,0.06905735,0.06779015,false,1.5695815,0.98951864,0.61333334,0.38666663,percent,0,702,0.029685559,0.4121869,0.26260942,false,1.9721036,1.088057,0.64444447,0.35555553,percent,0,1014,5616,N/A,N/A,0.03264171,0.23192105,0.11760084,false,1.9760903,1.3628207,0.59183675,0.40816325,percent,0,998,0.04088462,-0.8114598,-0.41063902,false,1.0178627,1.6964377,0.375,0.625,percent,0,967,0.05089313,-1.0371999,-1.0189978,false,0.71628124,1.398454,0.33870968,0.66129035,percent,0,1248,0.041953616,-0.14208604,-0.19836628,false,0.5069519,1.5208558,0.25,0.75,percent,0,1061,6552,0.04562567,0.4471993,0.88213354,false,1.8041342,0.98716795,0.64634144,0.3536586,percent,0,1372,5725,N/A,0.029615037,-2.371007,-1.3142077,false,0.81901675,0.6825139,0.54545456,0.45454544,percent,0,1294,4867,0.020475416,-0.19348735,-0.23624346,1.3496754,N/A,N/A,N/A,6615,N/A,N/A,N/A,N/A,N/A,6490,N/A,6209,6786,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,0,0,0,0.0,0,false,1.2272727,1.7727273,0.4090909,0.59090906,,1435,1,2231,2995,7005,0.053181816,0.15674812,0.12772068,false,0.644076,2.576304,0.2,0.8,percent,0,1450,0.07728912,0.039493755,0.06131847,false,0.34065297,2.997746,0.10204082,0.8979592,percent,0,1045,0.089932375,0.0498105,0.14622065,false,0.3413694,3.1405983,0.09803922,0.9019608,percent,0,1154,4820,N/A,N/A,0.09421795,0.012052401,0.03530604,false,0.33853334,3.24992,0.094339624,0.90566033,percent,0,1029,0.0974976,-0.052046303,-0.15374056,false,0.16998637,3.467722,0.046728972,0.95327103,percent,0,1560,0.10403165,0.035509888,0.20889845,false,0.34065145,3.4405797,0.09009009,0.9099099,percent,0,1311,0.103217386,0.11852036,0.34792265,false,0.37532383,3.6508775,0.09322034,0.9067797,percent,0,967,4336,0.10952632,0.29798934,0.79395264,false,0.4760691,4.1145973,0.1037037,0.8962963,percent,0,1436,4010,N/A,0.12343792,-0.25082058,-0.5268575,false,0.33978447,4.179349,0.075187966,0.924812,percent,0,1482,3806,0.12538047,-0.17495494,-0.51489973,4.507771,N/A,N/A,N/A,3666,N/A,N/A,N/A,N/A,N/A,1809,6708,4243,4306,N/A,N/A,5023,N/A,N/A,5616,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,0,0,1,0.0,1,false,1.4318181,1.5681819,0.47727272,0.5227273,,1825,1,2667,3151,N/A,0.047045454,0.18287279,0.12772068,false,1.1262066,2.1159034,0.34736842,0.6526316,percent,0,2324,0.0634771,0.06905726,0.06131847,false,1.1938201,2.1829853,0.35353535,0.64646465,percent,0,1576,0.06548956,0.17456116,0.14622065,false,1.0856863,2.5445776,0.2990654,0.70093465,percent,0,1592,N/A,N/A,N/A,0.07633732,0.038331285,0.03530604,false,1.498247,2.2473702,0.4,0.59999996,percent,0,1326,0.06742111,-0.23034133,-0.15374056,false,1.0187348,2.5807953,0.28301886,0.7169812,percent,0,1591,0.077423856,0.21281213,0.20889845,false,1.3612614,2.5523648,0.3478261,0.6521739,percent,0,1388,0.07657094,0.47361368,0.34792265,false,1.8702664,2.6863828,0.41044775,0.5895522,percent,0,1591,N/A,0.080591485,1.484903,0.79395264,false,3.5711548,3.3330781,0.51724136,0.48275864,percent,0,1497,4742,N/A,0.09999234,-1.8814896,-0.5268575,false,1.7339017,3.8077843,0.31288344,0.68711656,percent,0,3448,N/A,0.11423352,-0.89278555,-0.51489973,4.958129,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1840,2542,N/A,N/A,N/A,N/A,2854,6193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,0,0,2,0.0,2,false,1.2613636,1.7386364,0.42045453,0.57954544,,N/A,1,2559,4867,6100,0.05215909,0.16110222,0.12772068,false,1.3235375,1.9004642,0.4105263,0.5894737,dollar,0,1138,0.057013925,0.08115729,0.06131847,false,1.223532,2.1411808,0.36363637,0.6363636,dollar,0,1170,0.06423542,0.17890565,0.14622065,false,2.0984943,1.5231009,0.5794392,0.42056078,dollar,0,905,3245,N/A,N/A,0.045693025,0.07408953,0.03530604,false,2.4837925,1.2589085,0.6636364,0.33636364,dollar,0,1045,0.037767254,-0.38185963,-0.15374056,false,2.239108,1.1874061,0.6534653,0.3465347,dollar,0,1419,0.03562218,0.46774623,0.20889845,false,3.0292904,0.9530351,0.7606838,0.23931623,dollar,0,1389,0.028591054,1.0539588,0.34792265,false,4.3872256,0.8842473,0.83225805,0.16774198,dollar,0,1341,1747,0.026527418,3.4832494,0.79395264,false,3.5045934,7.111263,0.3301282,0.6698718,dollar,0,1248,2169,2762,0.21333788,-1.8464212,-0.5268575,false,1.6337242,7.76019,0.17391305,0.82608694,dollar,0,1045,1529,0.2328057,-0.84120417,-0.51489973,8.969245,N/A,N/A,N/A,2402,N/A,N/A,N/A,N/A,N/A,2652,N/A,1887,N/A,N/A,1638,N/A,N/A,2215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3292,3666,N/A,3135,N/A,N/A,4088,5180,3947,4352,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
